library_id	donor	barcode	titration_level	concentration	run_id	fastq	seq_summary
D01_c1	D01	5	c1	78800000	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode05/FBB16496_pass_barcode05_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D01_c2	D01	6	c2	7880000	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode06/FBB16496_pass_barcode06_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D01_c3	D01	13	c3	788000	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode13/FBB16496_pass_barcode13_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D01_c4	D01	15	c4	78800	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode15/FBB16496_pass_barcode15_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D01_c5	D01	16	c5	7880	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode16/FBB16496_pass_barcode16_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D01_c0	D01	17	negative	0	39f2adf3-9250-445d-a693-243f56d11aeb	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/exp_c3_dorado200_demux/20250218_TDV1c_SM/rawdata/20250218_1533_X1_FBB16496_39f2adf3/bam_pass/barcode17/FBB16496_pass_barcode17_39f2adf3_0f0feac1_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv1_demux/reports/
D03_c1	D03	18	c1	78800000	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode18/FAZ82149_pass_barcode18_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
D03_c2	D03	19	c2	7880000	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode19/FAZ82149_pass_barcode19_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
D03_c3	D03	20	c3	788000	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode20/FAZ82149_pass_barcode20_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
D03_c4	D03	21	c4	78800	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode21/FAZ82149_pass_barcode21_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
D03_c5	D03	22	c5	7880	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode22/FAZ82149_pass_barcode22_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
D03_c0	D03	23	negative	0	d42f899a-5c78-482b-856b-485090df94e3	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/exp_c3_dorado200_demux/20250220_TDV3c_SM/rawdata/20250220_0934_X1_FAZ82149_d42f899a/bam_pass/barcode23/FAZ82149_pass_barcode23_d42f899a_9c3e8cf4_0.fastq	/home/tdinse/barcode_qc_Project_red/outputs/tdv3_demux/reports/
