contig	species
Akkermansia_muciniphila	Akkermansia_muciniphila
Bacteroides_fragilis	Bacteroides_fragilis
Bifidobacterium_adolescentis	Bifidobacterium_adolescentis
Candida_albicans	Candida_albicans
Clostridioides_difficile	Clostridioides_difficile
Clostridium_perfringens	Clostridium_perfringens
Enterococcus_faecalis	Enterococcus_faecalis
Escherichia_coli_B1109	Escherichia_coli
Escherichia_coli_B2207	Escherichia_coli
Escherichia_coli_B3008	Escherichia_coli
Escherichia_coli_B766	Escherichia_coli
Escherichia_coli_JM109	Escherichia_coli
Faecalibacterium_prausnitzii	Faecalibacterium_prausnitzii
Fusobacterium_nucleatum	Fusobacterium_nucleatum
Lactobacillus_fermentum	Lactobacillus_fermentum
Methanobrevibacter_smithii	Methanobrevibacter_smithii
Prevotella_corporis	Prevotella_corporis
Roseburia_hominis	Roseburia_hominis
Saccharomyces_cerevisiae	Saccharomyces_cerevisiae
Salmonella_enterica	Salmonella_enterica
Veillonella_rogosae	Veillonella_rogosae
